cycle,n,area_sim,area_expected,V_hom,f_dot,dNdt,dMdt,M,anomaly
136,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5437259.678657,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
137,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-5476947.712808,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
138,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-5516635.746959,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
139,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5556323.781110,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
140,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-5596011.815261,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
141,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-5635699.849411,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
142,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-5675387.883562,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
143,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5715075.917713,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
144,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-5754763.951864,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
145,5,31.415927,31.415927,0.800,31582.734,39688034.150784,-39688034.150784,-5794451.986014,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
146,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-5834140.020165,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
147,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-5873828.054316,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
148,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5913516.088467,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
149,6,37.699112,37.699112,0.800,31582.734,39688034.150784,-39688034.150784,-5953204.122618,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
150,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-5992892.156768,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
151,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6032580.190919,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
152,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6072268.225070,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
153,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6111956.259221,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
154,2,12.566371,12.566371,0.800,31582.734,39688034.150784,-39688034.150784,-6151644.293372,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
155,0,0.000000,0.000000,0.800,31582.734,39688034.150784,-39688034.150784,-6191332.327522,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
156,4,25.132741,25.132741,0.800,31582.734,39688034.150784,-39688034.150784,-6231020.361673,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
157,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6270708.395824,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
158,3,18.849556,18.849556,0.800,31582.734,39688034.150784,-39688034.150784,-6310396.429975,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
159,1,6.283185,6.283185,0.800,31582.734,39688034.150784,-39688034.150784,-6350084.464125,DCE_OVERTHRUST PLANCK_CORE_SATURATION 
